id,is_iceberg
5941774d,0.15516272
4023181e,0.91541755
b20200e4,0.7712107
e7f018bb,0.92679214
4371c8c3,0.6025736
a8d9b1fd,0.011590153
29e7727e,0.044345558
92a51ffb,0.9845
c769ac97,3.9971615e-10
aee0547d,1.6784957e-16
565b28ac,8.541871e-10
e04e9775,0.8531823
8e8161d1,7.498194e-05
4cf4d256,0.75972664
139e5324,0.2726286
f156976f,0.00049880147
68a117cc,0.014311701
d9aa7a56,0.9779001
9005b143,0.7344746
5f6d3988,0.86609924
9ad70954,0.20219171
b9087b9e,0.6119975
a39a1427,0.98612547
82fbe8ed,0.48414797
1fae4879,1.5149453e-21
6dd8f13d,9.507288e-10
bbad5958,0.030605525
54527583,0.5177392
be8fa29c,0.13099423
81a3328f,0.98458695
1a3c0ab3,5.5510463e-13
4deeeb8b,0.44409388
ac6d5632,0.3270423
472dadb5,0.952147
96093f95,0.6857111
f5b4e3df,0.7575745
e01a3c92,1.9093415e-05
001680af,0.10542384
8e639f33,0.37541384
a2c16612,0.80860794
a6d76474,1.3700003e-24
19c47684,0.94773364
015827b6,0.999418
7df7f7ce,0.63978106
0bbf1a3f,0.73441154
636cfbb7,0.5769068
7370030a,0.98477286
43aa97ad,6.665222e-24
ba2b5e63,0.98342085
dfdd335b,0.55780894
e79b13dc,2.0585316e-14
dc32b195,0.8914366
6d868590,0.97302234
75fa59aa,0.04143077
ffe50836,0.99948704
a7bfd784,0.89601356
b3d569e3,0.22814056
6c538c5b,0.090317756
5c7c15f4,1.0
0b745139,0.9993781
fd14608e,0.29237965
f0bc8305,0.03337437
a10ccb28,0.96607876
543304c7,0.7729672
6c3a4078,3.7476295e-33
9b73cc75,0.2209867
5c6c71b1,0.09852874
09ee9186,0.9943886
207c35cf,0.81477076
153c813e,1.0
5605d58b,0.97353363
642ca396,6.63958e-05
d32d72c0,0.9063774
16646a17,0.9838976
384074af,0.9883052
69bf1e8c,0.6492177
9e90a054,0.88001513
89dbe7f7,0.90364325
dbd27d22,0.7821573
a2ea1561,0.7522688
d63402af,0.8913858
1ac8bb92,0.99573517
8beffca5,0.9791212
46741f3e,0.010019869
e5ee6aa7,0.98024595
5ecd892b,0.81260777
69892166,2.6791769e-08
2f725a81,0.019980043
810abfe4,2.2992958e-16
e6f973e6,0.9489745
c60a5c46,0.32634175
c42b9e08,0.10463035
c3f00c23,1.0
5307fdb8,0.9906376
3e4f005e,0.004829854
4a4cc2e0,0.84651786
9bdd88d1,1.0676633e-21
0d832bed,0.007532984
14a134fa,4.0587806e-06
78a41676,1.3454109e-15
0bd4658e,0.06992102
4a311bb0,0.3968212
f939c817,0.99896646
956adc4d,0.99902457
f8a119f5,0.7865052
61faa1ad,0.96119195
6725eb3e,0.9442728
17b3a8fd,9.507583e-09
49a88dfc,2.4095753e-10
2d6ec645,0.39978817
0d4d77ba,0.8015435
3ee672a2,0.99863297
738b41fd,0.7361935
f7fb320d,0.7480468
b42fad18,6.028741e-17
4ab8b00a,0.8312804
f7870f2b,0.0154776275
4978666a,0.78439814
f1b0d6c7,2.6472807e-07
5642407f,5.5113014e-05
36d4ff92,0.97629076
4139aba2,0.9158853
7585ce58,0.5752873
33e25984,0.9914714
ac46f3c9,0.07618621
fc34a5b8,0.7845905
85c36a8f,0.762247
b2d8a426,0.0019282699
13ec60d1,0.7892531
9d440f42,0.023723453
1c0a891e,0.76906574
981c3bc3,0.9855015
295604f4,0.90109766
16ca16c3,0.0020723343
b4dda837,0.1980316
88d088ef,5.988249e-05
1b4fa160,0.960469
f371bd82,0.04740712
b130a0b7,0.7966123
ebf1de82,0.7817171
01e651c3,0.9990683
51b1fecc,0.99941784
fa635a31,0.9778681
97b7d789,0.3164172
2f598053,0.0005682707
c0e3e148,0.23799223
cfa175a8,0.015491068
3d7e09d8,0.9890754
44a13d1b,0.9512079
c66b0948,0.95176625
976a6d64,0.031820804
8bbd8909,0.6081934
522890fd,0.9614037
f23a3b95,0.37779891
680039dc,0.9508017
93028e53,0.00033420324
22a16932,0.9999983
7d8126d2,0.0037745833
ba2ecd75,4.9059985e-21
8071bdd7,0.18894455
96d5aeee,1.6633753e-10
154be68f,0.8449324
d8c2bfe2,0.86576277
f76d47b0,0.99030507
0e781ade,1.4027737e-11
13cf6060,6.849189e-36
cd99f710,0.9911946
d10005bb,0.14450294
3a31445f,0.9750585
3157202d,0.0003516078
6ee64703,0.63715553
e5de8685,0.31709358
02cc70ba,0.00016751885
50984a87,0.8307261
fa94957a,0.7822164
eab406b4,0.5322339
3ad39398,0.92038274
9ecf3802,0.99963963
6048ae7b,2.2783672e-16
9dc68871,2.6663929e-05
13701465,0.40081164
8d8779f3,2.4301913e-15
0712f269,0.915871
722c2597,1.5168274e-10
478a2b08,0.75007594
38f5fb41,0.7198599
c52ad74d,0.9769814
0c85fd09,6.6720155e-16
f1582cba,0.8049997
ff836697,0.9648684
ddfe4802,0.065086156
3cef3bc7,0.93875664
6a21542b,0.16928244
150e23c4,0.9991667
078c6d99,0.8825181
1dcd1dc3,3.5700304e-10
39967e45,0.5993799
6b6333aa,1.0
4ae61433,0.7969111
f96362e0,0.18591917
97a88aac,0.8239666
427ae8ce,0.0046771467
209d4b15,0.51698244
64b453bd,1.6713232e-28
0f5a484e,0.71151245
5ac74969,0.6896485
736ed43e,0.93839955
8533795f,0.38328493
f5b54fb6,0.64107645
6eb4c041,0.6985285
97afdf42,0.8169211
1bb488db,0.9999845
f132e44d,2.2277546e-09
d3c2f140,0.77871644
1756794d,0.777614
9efcc11f,8.93324e-19
14c966cf,0.9303559
59cfe4d1,0.84007436
883151f4,0.9996656
34c4c9ff,0.7066498
70b4c2eb,0.3770424
96a337d9,0.92879426
7fe89ffa,0.47460046
057c7a22,5.3436445e-21
451cc057,0.1339126
05076700,5.5620175e-16
dc52f6c1,0.014914125
b03a59f9,0.38918853
129ed4b0,0.9200044
fb611563,0.9818468
ac32e6f1,0.89819866
c05c5ab0,0.72969425
3163d5ed,1.1787694e-05
02096ca4,0.9721811
e92496c0,3.3498546e-07
1a9e2c50,0.989302
0864e334,0.88501143
d976faeb,0.94746375
1d7b342f,8.5115815e-08
